player,position
Marco Rossi,C
Cole Perfetti,LW
Connor McMichael,C
Philip Tomasino,C
Arthur Kaliyev,RW
Pavel Gogolev,LW
Joseph Garreffa,RW
Jack Quinn,LW
Austen Keating,LW
Nick Robertson,LW
Akil Thomas,C
Brett Neumann,C
Cam Hillis,C
Quinton Byfield,C
Noel Hoefenmayer,D
Tyson Foerster,RW
Cole Coskey,RW
Evgeniy Oksentyuk,LW
Sean Josling,RW
Riley Damiani,C
Maxim Golod,LW
Mitchell Hoelscher,C
Ryan Merkley,D
Damien Giroux,LW
Semyon Der-Arguchintsev,C
Chad Yetman,C
David Levin,C
Blake Murray,LW
Cole Schwindt,C
Liam Hawel,RW
Jacob Perreault,RW
Ty Dellandrea,C
Sergey Popov,LW
Declan Chisholm,D
Liam Foudy,LW
Ryan McGregor,C
Egor Afanasyev,LW
Tyler Angle,C
Allan McShane,C
Shane Wright,C
Jonathan Gruden,LW
Ty Tullio,C
Zack Trott,LW
Zach Gallant,C
Greg Meireles,C
Brad Chenier,LW
Brady Lyle,D
James Hardie,LW
Matej Pekar,LW
Ivan Lodnia,RW
Riley McCourt,D
Luke Evangelista,RW
Jamieson Rees,C
Luke Moncada,C
Curtis Douglas,C
Alec Regula,D
Jonathan Yantsis,RW
Barret Kirwin,C
Rory Kerins,C
Zayde Wisdom,RW
Matthew Struthers,C
Eric Uba,RW
Oliver Castleman,LW
Ryan Suzuki,C
Cody Morgan,C
Brandon Coe,RW
DJ Busdeker,RW
Thomas Harley,D
Jan Jenik,C
Ryan Roth,RW
Tyler Tucker,D
Jack Wismer,RW
Jake Durham,RW
Connor Corcoran,D
Tye Kartye,LW
Jason Willms,C
Aidan Dudas,C
Billy Constantinou,D
Kaleb Pearson,RW
Shane Bulitka,C
Keean Washkurak,C
Axel Bergkvist,D
Cole MacKay,RW
Daniel D'Amico,LW
Jaromir Pytlik,C
Macauley Carson,C
Liam Kirk,LW
Robert Calisti,D
Tag Bertuzzi,C
Ethan Cardwell,RW
Aidan Brown,RW
Serron Noel,RW
Jamie Drysdale,D
Kyen Sopa,RW
Owen Robinson,LW
Kyle MacLean,C
Logan Morrison,C
Austen Swankler,C
Cole Purboo,RW
Richard Whittaker,LW
Evan Vierling,C
Mason Millman,D
Mike Petizian,LW
Keegan Stevenson,RW
Connor Roberts,RW
Jordan Frasca,C
Jean-Luc Foudy,C
Jaden Peca,RW
Mason McTavish,C
Will Cuylle,LW
Mitchell Russell,RW
Declan McDonnell,RW
Hayden Fowler,RW
Adam McMaster,C
Anthony Tabak,LW
Francesco Pinelli,C
Nathan Staios,D
Joe Carroll,LW
Calvin Martin,RW
Antonio Stranges,LW
Nicholas Canade,LW
Blade Jenkins,C
Tanner Dickinson,LW
Ilya Solovyov,D
Reid Valade,LW
Brayden Guy,LW
Louka Henault,D
Brandt Clarke,D
Brett Harrison,C
Josh Nelson,C
Luke Bignell,LW
Ryan O'Rourke,D
Jakob Brahaney,D
Luke Boka,RW
Danny Katic,LW
Cedric Ralph,C
Danil Antropov,C
Riley Piercey,RW
Vitali Pinchuk,LW
Chase Stillman,RW
Nathan Dunkley,C
Daniil Chayka,D
Brennan Othmann,LW
Jake Uberti,C
Owen Gilhula,RW
Jake Goldowski,RW
Max Grondin,C
Vladislav Kolyachonok,D
Aidan Prueter,C
Martin Chromiak,LW
Carter Robertson,D
Nico Gross,D
Nathan Allensen,D
Liam Van Loon,LW
Daniel D'Amato,RW
Cameron Butler,RW
Nick Wong,RW
Jack Thompson,D
Oliver Suni,RW
Sam Bitten,LW
Alec Belanger,D
Hunter Skinner,D
Fedor Gordeev,D
Kade Landry,D
Kevin Bahl,D
Jacob LeGuerrier,D
Ruben Rafkin,D
Liam Ham,D
Wyatt Johnston,C
Donovan Sebrango,D
Michael Vukojevic,D
Nick Grima,D
Matthew Philip,LW
Ethan Keppen,LW
Avery Hayes,RW
Dalton Duhart,LW
Brendan Sellan,LW
Eric Hjorth,D
Drew Hunter,D
Jack Phibbs,C
Nolan Hutcheson,LW
Brady Hinz,RW
Ty Voit,RW
Nick King,D
Dustin Hutton,LW
Lleyton Moore,D
Daylon Groulx,RW
Billy Moskal,C
Ty Collins,RW
Connor Lockhart,C
Camaryn Baber,C
Dennis Busby,D
Jacob Golden,D
Andrew Perrott,D
Giovanni Vallati,D
Isaac Nurse,RW
Alex Johnston,C
Isaak Phillips,D
Victor Hadfield,LW
Jan Mysak,C
Emmett Sproule,LW
Deni Goure,C
Ryan Stepien,RW
Jake Gravelle,D
Owen Lalonde,D
Emmett Serensits,D
Dawson Baker,LW
Andrew Bruder,C
Kalle Loponen,D
Ryan Winterton,C
Brendan Hoffmann,RW
Theo Hill,C
Andrei Bakanov,RW
Nick Isaacson,LW
Adrien Beraldo,D
Cameron Tolnai,C
Kyle Jackson,LW
Duncan Penman,D
Emmet Pierce,RW
Cameron Supryka,D
Reilly Webb,D
Hudson Wilson,D
David Maier,D
Nicholas Porco,LW
William Portokalis,C
Navrin Mutter,LW
Francesco Arcuri,LW
Josh Wainman,D
Joshua Samanski,C
Liam Arnsby,C
Kyle McDonald,RW
Mason Primeau,C
Ethan Burroughs,RW
Kurtis Henry,D
Jack Beck,LW
Elias Cohen,C
Isaac Langdon,C
Simon Rose,D
Holden Wale,D
Dakota Betts,D
Nikita Okhotyuk,D
Ole Bjorgvik-Holm,D
Jacob Paquette,D
Braeden Kressler,C
Tucker Robertson,RW
Justin Nolet,D
George Diaco,LW
Jack Duff,D
Lucas Peric,D
Grayson Ladd,D
Dylan Robinson,D
Justin MacPherson,D
Graeme Clarke,RW
Arber Xhekaj,D
DJ King,D
Jack York,D
Adam Samuelsson,D
Michael Renwick,D
Alex Christopoulos,RW
Jonah De Simone,RW
Bradey Johnson,C
Kosta Manikis,RW
Mitchell Smith,D
Jacob Winterton,LW
Harrison Caines,LW
Jacob Frasca,C
Michael Little,LW
Elijah Roberts,D
Mason Howard,D
John Parker-Jones,RW
Lucas Rowe,RW
