number,name,team_city,position,games,goals_official,assists,points,sog,shots_blocked,shots
13,Kaleigh Fratkin,Boston,D,7,0,9,9,11,9,20
13,Mikyla Grant-Mentis,Toronto,F,6,5,4,9,28,11,39
21,Christina Putigna,Boston,F,7,2,6,8,24,5,29
17,McKenna Brand,Boston,F,7,3,4,7,25,15,40
14,Jillian Dempsey,Boston,F,7,3,3,6,16,3,19
44,Lindsay Eastwood,Toronto,D,6,1,5,6,9,12,21
23,Nina Rodgers,Minnesota,F,4,2,4,6,9,1,10
8,Alyssa Wohlfeiler,Connecticut,F,4,1,4,5,13,3,16
42,Meghara McManus,Boston,F,7,2,3,5,20,3,23
19,Samantha Davis,Boston,F,7,4,1,5,17,3,20
2,Taylor Woods,Toronto,F,6,4,1,5,18,14,32
21,Amy Curlew,Toronto,F,6,0,4,4,3,2,5
21,Audra Richards,Minnesota,F,4,1,3,4,7,2,9
11,Breanne Wilson-Bennett,Toronto,F,6,2,2,4,23,4,27
19,Brooke Boquist,Toronto,F,4,2,2,4,18,8,26
15,Emma Vlasic,Connecticut,F,4,1,3,4,10,2,12
67,Emma Woods,Toronto,F,4,0,4,4,22,6,28
25,Kristin Lewicki,Buffalo,F,6,2,2,4,15,1,16
20,Meghan Lorence,Minnesota,F,4,0,4,4,11,3,14
9,Autumn MacDougall,Buffalo,F,6,3,0,3,15,4,19
19,Haley Mack,Minnesota,F,4,2,1,3,10,1,11
27,Jordan Juron,Buffalo,F,6,1,2,3,17,3,20
5,Leila Kilduff,Metropolitan,D,3,2,1,3,5,1,6
16,Lexie Laing,Boston,F,7,1,2,3,10,3,13
47,Mallory Souliotis,Boston,D,7,3,0,3,16,4,20
4,Marie-Jo Pelletier,Buffalo,D,6,0,3,3,5,3,8
24,Sarah-Eve Coutu Godbout,Toronto,F,6,2,1,3,28,9,37
27,Shiann Darkangelo,Toronto,F,6,0,3,3,23,5,28
6,Sydney Baldwin,Minnesota,D,4,1,2,3,14,12,26
8,Taylor Turnquist,Boston,D,7,0,3,3,10,13,23
17,Taytum Clairmont,Toronto,F,6,1,2,3,8,4,12
5,Tori Howran,Connecticut,D,3,1,2,3,5,3,8
23,Alyson Matteau,Buffalo,D,6,0,2,2,9,6,15
88,Amanda Conway,Connecticut,F,4,1,1,2,7,1,8
14,Elena Orlando,Connecticut,D,4,0,2,2,2,0,2
12,Emily Fluke,Toronto,F,6,1,1,2,3,3,6
23,Katelynn Russ,Connecticut,F,4,2,0,2,22,1,23
8,Kelly Babstock,Metropolitan,F,3,0,2,2,5,1,6
4,Lauren Kelly,Boston,D,7,2,0,2,13,12,25
9,Mackenzie MacNeil,Toronto,F,6,2,0,2,18,2,20
18,Rebecca Russo,Metropolitan,F,3,1,1,2,7,2,9
6,Sarah Steele,Toronto,D,6,0,2,2,5,4,9
6,Shannon Doyle,Connecticut,D,4,0,2,2,8,7,15
73,Tereza Vanisova,Boston,F,7,0,2,2,18,5,23
9,Tori Sullivan,Boston,F,7,0,2,2,4,2,6
16,Brooke Avery,Metropolitan,F,3,0,1,1,1,0,1
12,Brooke Stacey,Buffalo,F,6,0,1,1,12,3,15
10,Brooke White,Minnesota,F,4,1,0,1,1,0,1
13,Cailey Hutchison,Metropolitan,F,3,1,0,1,2,1,3
23,Carlee Turner,Boston,F,7,0,1,1,14,1,15
4,Emily Janiga,Metropolitan,F,3,1,0,1,4,1,5
25,Emma Greco,Toronto,D,6,0,1,1,6,4,10
7,Emma Stauber,Minnesota,D,4,0,1,1,3,4,7
91,Haylea Schmid,Minnesota,F,3,1,0,1,8,2,10
12,Jenna Rheault,Boston,D,3,0,1,1,0,1,1
3,Jonna Curtis,Minnesota,F,4,1,0,1,14,2,16
28,Kate Leary,Metropolitan,F,3,0,1,1,4,0,4
9,Kaycie Anderson,Connecticut,F,4,1,0,1,7,1,8
29,Kayla Friesen,Connecticut,F,3,1,0,1,16,4,20
21,Kayla Meneghin,Buffalo,F,3,0,1,1,3,0,3
10,Kendall Cornine,Metropolitan,F,3,0,1,1,6,2,8
